Forecast_Day,Forecast_Price,Lower_80,Upper_80,Lower_95,Upper_95
1,990.1870763315474,975.603795109477,1004.7703575536177,967.8838723558798,1012.4902803072149
2,991.4345160719511,971.438373849737,1011.4306582941651,960.8530555681549,1022.0159765757472
3,991.9861015436577,967.3119053677219,1016.6602977195935,954.2501749118182,1029.7220281754971
4,993.135212962331,964.8686824337219,1021.4017434909401,949.9052850425498,1036.3651408821122
5,993.7712323826368,962.0654245819909,1025.4770401832825,945.2813837797775,1042.261080985496
6,994.8478408687819,960.2404464361753,1029.4552353013885,941.9203984541986,1047.775283283365
7,995.5461181286462,958.103532026003,1032.9887042312894,938.2826242340132,1052.8096120232792
8,996.5692661760013,956.6191047000295,1036.519427651973,935.4707666894122,1057.6677656625905
9,997.3134495986218,954.9008020087444,1039.7260971884991,932.4489025916321,1062.1779966056115
10,998.297178295394,953.6415468030524,1042.9528097877355,930.0022834312231,1066.592073159565
11,999.0752108813313,952.2150912841087,1045.9353304785539,927.408842401834,1070.7415793608284
12,1000.0298735016636,951.1210911610469,1048.9386558422802,925.2303457319157,1074.8294012714114
13,1000.8328649556147,949.9111030992607,1051.7546268119686,922.9547506829621,1078.7109792282672
14,1001.7660955435288,948.9466580299024,1054.585533057155,920.9857368020697,1082.546454284988
15,1002.5874905570213,947.9041350329258,1057.2708460811168,918.9565152123179,1086.2184659017248
16,1003.5049181171503,947.0458133058409,1059.9640229284596,917.1581685952034,1089.851667639097
17,1004.3398830971819,946.1369669408816,1062.5427992534821,915.3262042655571,1093.3535619288066
18,1005.245658207263,945.3682397508045,1065.1230766637216,913.6710491028521,1096.820267311674
19,1006.0906290772668,944.5687689215263,1067.6124892330074,912.0010634218108,1100.1801947327228
20,1006.9878121887789,943.8773205163789,1070.098303861179,910.4686442909546,1103.506980086603
21,1007.8401609571622,943.1691770226563,1072.511144891668,908.9344260930831,1106.7458958212414
22,1008.7310087109505,942.5454394566359,1074.916577965265,907.5089154902126,1109.9531019316883
23,1009.5887976135593,941.9148692680059,1077.2627259591127,906.0904555915091,1113.0871396356097
24,1010.4749739562478,941.3511687598387,1079.5987791526568,904.7592366407919,1116.1907112717038
25,1011.336774171953,940.7874623292672,1081.886086014639,903.4409125746952,1119.232635769211
26,1012.2195060237985,940.2774926317071,1084.16151941589,902.1936912108945,1122.2453208367026
27,1013.0842640034284,939.7721549477917,1086.3963730590651,900.9630686938513,1125.2054593130056
28,1013.9644560408767,939.3106356878036,1088.6182763939498,899.7912903765144,1128.137621705239
29,1014.8313949441152,938.8568173520698,1090.8059725361607,898.638305391941,1131.0244844962895
30,1015.7097142353534,938.4392622207376,1092.9801662499692,897.5347557791017,1133.8846726916051
