Year,Start_Price,End_Price,Annual_Return,Average_Price,Average_Volume
2010,143.45134,258.893097,80.47450584985823,205.43008884666668,18058508.72
2011,258.91290299999997,176.803604,-31.71309658522502,200.89137686585366,13775119.552845528
2012,181.997894,309.332092,69.96465464594881,256.5436189183674,11933655.265306123
2013,313.38858,372.405579,18.831892023634044,314.59201671774196,8307702.758064516
2014,370.970978,490.291138,32.16428429072422,446.6696755122951,5462392.331967213
2015,493.16037,391.299988,-20.654616266104274,446.7265751097561,7286290.975609756
2016,401.899994,472,17.442151541808684,443.1550816422764,8963750.203252032
2017,487.049988,431.850006,-11.333535234580475,444.88487799193547,6893919.197580645
2018,424.450012,172.699997,-59.312052746508115,284.7605688252033,13036666.585365854
2019,173.449997,185.149994,6.745458173746751,163.78909493415637,32349993.18106996
2020,184.449997,183.850006,-0.325286532804871,129.5958168247012,65123279.55378486
2021,186.5,482.399994,158.6595142091153,347.7764119677419,56074633.18145161
2022,497.600006,387.950012,-22.035770232687657,438.4598788629032,18272930.552419353
2023,394.799988,779.950012,97.55573346167378,558.4832661387755,11966107.17142857
2024,790.599976,989.75,25.18973311985024,941.5291676916667,12079411.475
